image,type,audio,marker_id,marker_left,marker_top,marker_width,marker_height,info_id,info_left,info_top,info_content
school-of-athens.jpg,text,sa-youngman.mp3,marker1,6184px,2789px,242px,646 px,info1,6184px,1450px,"The young man peaking out at the viewer, is none other than Raphael himself. "
school-of-athens.jpg,text,sa-hypatia.mp3,marker2,1938px,2823px,335px,1015px,info2,1938px,1450px,"Hypatia, the first woman documented to have made a contribution to mathematics, astronomy and philosophy. "
school-of-athens.jpg,text,sa-alexander.mp3,marker3,4476px,2443px,392px,934px,info3,4476px,1450px,"Alexander the Great, King of Macedonia in the 4th century B.C. and eventual ruler of the land stretching from Greece to India and Egypt. "
school-of-athens.jpg,text,sa-pythagoras.mp3,marker4,1188px,3112px,611px,404px,info4,1188px,1450px,"Pythagoras, an ancient Ionian Greek philosopher, polymath and the eponymous founder of Pythagoreanism. "
school-of-athens.jpg,text,sa-socrates.mp3,marker5,2238px,2316px,450px,992px,info5,2238px,1450px,"Socrates(the rightest), among the crowd surrounding Socrates are his students, including the general Alcibiades and Aeschines of Sphettus. "
school-of-athens.jpg,text,sa-heraclitus.mp3,marker6,2827px,3285px,508px,1027px,info6,2827px,1450px,"Heraclitus, a self-taught pioneer of wisdom. He was a melancholy character and did not enjoy the company of others,"
school-of-athens.jpg,text,sa-euclid.mp3,marker7,5411px,3366px,600px,911px,info7,5411px,1450px,"Euclid, an ancient Greek mathematician active as a geometer and logician. "
school-of-athens.jpg,text,sa-plato.mp3,marker8,3230px,2293px,669px,969px,info8,3230px,1450px,"Plato on the left and Aristotle, his student, on the right. Both figures bound copies of their books in their left hands, while gesturing with their right. "
